candidate_id,rank,score,reasoning
CAND_0067108,19,1.019243884086609,Ranked for 8.0 years of experience. Strong semantic alignment (AI Score: 0.72).
CAND_0090933,20,1.0191575169563294,Ranked for 6.1 years of experience. Strong semantic alignment (AI Score: 0.72).
CAND_0042762,21,1.018599796295166,Ranked for 7.4 years of experience. Strong semantic alignment (AI Score: 0.72).
CAND_0022465,22,1.0183876037597657,Ranked for 7.3 years of experience. Strong semantic alignment (AI Score: 0.72).
CAND_0046935,23,1.0181562185287476,Ranked for 7.9 years of experience. Strong semantic alignment (AI Score: 0.72).
CAND_0005462,24,1.0174347639083863,Ranked for 7.9 years of experience. Strong semantic alignment (AI Score: 0.72).
CAND_0094728,25,1.0166141271591187,Ranked for 6.5 years of experience. Strong semantic alignment (AI Score: 0.72).
CAND_0078785,26,1.0163698673248291,Ranked for 6.3 years of experience. Strong semantic alignment (AI Score: 0.72).
CAND_0008295,27,1.016205358505249,Ranked for 6.5 years of experience. Strong semantic alignment (AI Score: 0.72).
CAND_0039518,28,1.016048836708069,Ranked for 7.4 years of experience. Strong semantic alignment (AI Score: 0.72).
CAND_0009893,29,1.015340554714203,Ranked for 8.0 years of experience. Strong semantic alignment (AI Score: 0.72).
CAND_0033037,30,1.0151966094970704,Ranked for 6.5 years of experience. Strong semantic alignment (AI Score: 0.72).
CAND_0057563,31,1.0149968147277832,Ranked for 6.8 years of experience. Strong semantic alignment (AI Score: 0.71).
CAND_0060455,32,1.014881181716919,Ranked for 6.3 years of experience. Strong semantic alignment (AI Score: 0.71).
CAND_0085857,33,1.013797390460968,Ranked for 8.0 years of experience. Strong semantic alignment (AI Score: 0.71).
CAND_0093379,34,1.0135995626449585,Ranked for 6.6 years of experience. Strong semantic alignment (AI Score: 0.71).
CAND_0034601,35,1.0134531736373902,Ranked for 6.6 years of experience. Strong semantic alignment (AI Score: 0.71).
CAND_0006137,36,1.0133554220199585,Ranked for 6.1 years of experience. Strong semantic alignment (AI Score: 0.71).
CAND_0085202,37,1.0133535146713257,Ranked for 7.9 years of experience. Strong semantic alignment (AI Score: 0.71).
CAND_0072032,38,1.0133065462112427,Ranked for 6.1 years of experience. Strong semantic alignment (AI Score: 0.71).
CAND_0042690,39,1.012658166885376,Ranked for 6.3 years of experience. Strong semantic alignment (AI Score: 0.71).
CAND_0013625,40,1.0123030424118042,Ranked for 6.2 years of experience. Strong semantic alignment (AI Score: 0.71).
CAND_0017337,41,1.0122935056686402,Ranked for 7.9 years of experience. Strong semantic alignment (AI Score: 0.71).
CAND_0037381,42,1.0122806906700135,Ranked for 6.0 years of experience. Strong semantic alignment (AI Score: 0.71).
CAND_0083450,43,1.0122396230697632,Ranked for 6.8 years of experience. Strong semantic alignment (AI Score: 0.71).
CAND_0006839,44,1.0120922207832337,Ranked for 6.5 years of experience. Strong semantic alignment (AI Score: 0.71).
CAND_0012632,45,1.0119211554527283,Ranked for 6.0 years of experience. Strong semantic alignment (AI Score: 0.71).
CAND_0010685,46,1.0118749618530274,Ranked for 6.7 years of experience. Strong semantic alignment (AI Score: 0.71).
CAND_0085706,47,1.0116049528121949,Ranked for 7.7 years of experience. Strong semantic alignment (AI Score: 0.71).
CAND_0038514,48,1.0114432454109192,Ranked for 7.1 years of experience. Strong semantic alignment (AI Score: 0.71).
CAND_0099958,49,1.0113714218139649,Ranked for 6.8 years of experience. Strong semantic alignment (AI Score: 0.71).
CAND_0030264,50,1.0113455533981324,Ranked for 7.8 years of experience. Strong semantic alignment (AI Score: 0.71).
CAND_0039134,51,1.0112730145454407,Ranked for 7.6 years of experience. Strong semantic alignment (AI Score: 0.71).
CAND_0067717,52,1.0111800909042359,Ranked for 6.9 years of experience. Strong semantic alignment (AI Score: 0.71).
CAND_0039831,53,1.011071014404297,Ranked for 6.4 years of experience. Strong semantic alignment (AI Score: 0.71).
CAND_0044855,54,1.010408866405487,Ranked for 6.6 years of experience. Strong semantic alignment (AI Score: 0.71).
CAND_0031221,55,1.010314929485321,Ranked for 7.6 years of experience. Strong semantic alignment (AI Score: 0.71).
CAND_0062247,56,1.0102380394935608,Ranked for 7.3 years of experience. Strong semantic alignment (AI Score: 0.71).
CAND_0045862,57,1.0097927927970887,Ranked for 6.7 years of experience. Strong semantic alignment (AI Score: 0.71).
CAND_0070609,58,1.009628462791443,Ranked for 7.4 years of experience. Strong semantic alignment (AI Score: 0.71).
CAND_0027500,59,1.0092084884643555,Ranked for 6.4 years of experience. Strong semantic alignment (AI Score: 0.71).
CAND_0010794,60,1.0086226344108582,Ranked for 7.4 years of experience. Strong semantic alignment (AI Score: 0.71).
CAND_0082882,61,1.0086154222488404,Ranked for 7.5 years of experience. Strong semantic alignment (AI Score: 0.71).
CAND_0028470,62,1.0082151174545289,Ranked for 7.6 years of experience. Strong semantic alignment (AI Score: 0.71).
CAND_0019468,63,1.0081350684165955,Ranked for 7.3 years of experience. Strong semantic alignment (AI Score: 0.71).
CAND_0093414,64,1.0081300616264344,Ranked for 6.9 years of experience. Strong semantic alignment (AI Score: 0.71).
CAND_0036606,65,1.0081040740013123,Ranked for 6.3 years of experience. Strong semantic alignment (AI Score: 0.71).
CAND_0011432,66,1.0081003189086915,Ranked for 7.6 years of experience. Strong semantic alignment (AI Score: 0.71).
CAND_0010257,67,1.007851767539978,Ranked for 6.5 years of experience. Strong semantic alignment (AI Score: 0.71).
CAND_0055103,68,1.0074721455574036,Ranked for 7.7 years of experience. Strong semantic alignment (AI Score: 0.71).
CAND_0056772,69,1.0073737978935242,Ranked for 7.3 years of experience. Strong semantic alignment (AI Score: 0.71).
CAND_0072020,70,1.0073092460632325,Ranked for 6.1 years of experience. Strong semantic alignment (AI Score: 0.71).
CAND_0038968,71,1.0070434093475342,Ranked for 7.4 years of experience. Strong semantic alignment (AI Score: 0.71).
CAND_0011924,72,1.0070329189300538,Ranked for 6.1 years of experience. Strong semantic alignment (AI Score: 0.71).
CAND_0095377,73,1.0070005536079407,Ranked for 7.3 years of experience. Strong semantic alignment (AI Score: 0.71).
CAND_0006694,74,1.0068738341331482,Ranked for 6.8 years of experience. Strong semantic alignment (AI Score: 0.71).
CAND_0069345,75,1.006783652305603,Ranked for 6.7 years of experience. Strong semantic alignment (AI Score: 0.71).
CAND_0049116,76,1.0065154314041138,Ranked for 7.7 years of experience. Strong semantic alignment (AI Score: 0.71).
CAND_0076597,77,1.0064689993858338,Ranked for 7.8 years of experience. Strong semantic alignment (AI Score: 0.71).
CAND_0061969,78,1.006434428691864,Ranked for 6.7 years of experience. Strong semantic alignment (AI Score: 0.71).
CAND_0050876,79,1.0064064741134644,Ranked for 6.0 years of experience. Strong semantic alignment (AI Score: 0.71).
CAND_0039383,80,1.006387758255005,Ranked for 7.1 years of experience. Strong semantic alignment (AI Score: 0.71).
CAND_0021911,81,1.0063339948654175,Ranked for 7.3 years of experience. Strong semantic alignment (AI Score: 0.71).
CAND_0088672,82,1.0062489986419678,Ranked for 7.9 years of experience. Strong semantic alignment (AI Score: 0.71).
CAND_0018620,83,1.0058247327804566,Ranked for 7.1 years of experience. Strong semantic alignment (AI Score: 0.71).
CAND_0059652,84,1.005797553062439,Ranked for 6.3 years of experience. Strong semantic alignment (AI Score: 0.71).
CAND_0089072,85,1.005589532852173,Ranked for 6.8 years of experience. Strong semantic alignment (AI Score: 0.71).
CAND_0078918,86,1.0055038809776307,Ranked for 7.4 years of experience. Strong semantic alignment (AI Score: 0.71).
CAND_0034309,87,1.0053442597389222,Ranked for 7.9 years of experience. Strong semantic alignment (AI Score: 0.71).
CAND_0021884,88,1.0051032185554505,Ranked for 7.7 years of experience. Strong semantic alignment (AI Score: 0.71).
CAND_0027815,89,1.0050341367721558,Ranked for 7.9 years of experience. Strong semantic alignment (AI Score: 0.71).
CAND_0073439,90,1.0049224376678467,Ranked for 6.3 years of experience. Strong semantic alignment (AI Score: 0.70).
CAND_0077835,91,1.004814076423645,Ranked for 7.2 years of experience. Strong semantic alignment (AI Score: 0.70).
CAND_0075921,92,1.0047020196914673,Ranked for 7.0 years of experience. Strong semantic alignment (AI Score: 0.70).
CAND_0066849,93,1.004469084739685,Ranked for 7.4 years of experience. Strong semantic alignment (AI Score: 0.70).
CAND_0023184,94,1.0043331265449524,Ranked for 6.8 years of experience. Strong semantic alignment (AI Score: 0.70).
CAND_0014438,95,1.0042184472084046,Ranked for 7.5 years of experience. Strong semantic alignment (AI Score: 0.70).
CAND_0031508,96,1.004038441181183,Ranked for 6.1 years of experience. Strong semantic alignment (AI Score: 0.70).
CAND_0006437,97,1.0039833068847657,Ranked for 6.2 years of experience. Strong semantic alignment (AI Score: 0.70).
CAND_0026453,98,1.0037079334259034,Ranked for 6.8 years of experience. Strong semantic alignment (AI Score: 0.70).
CAND_0082282,99,1.0036499977111817,Ranked for 6.2 years of experience. Strong semantic alignment (AI Score: 0.70).
CAND_0083701,100,1.0035357356071473,Ranked for 7.7 years of experience. Strong semantic alignment (AI Score: 0.70).
